,sno,rent,return
0,148,3151.957011128166,3868.772285880884
1,199,1912.285543531614,3172.8561265837443
2,346,1748.6406148777398,1962.467834131301
3,278,757.7248841103215,2690.4549801102416
4,68,3715.5969910634817,5335.283591337952
5,358,1309.1695841257542,1987.9816397542509
6,218,3564.7858280687774,11973.058673538688
7,67,10219.111703078697,9168.60949108424
8,83,8828.64174151381,7380.056232848094
9,348,546.4329785069712,6590.249084822211
10,6,4.47213595499958,2
11,94,7576.029830986676,6018.399621161759
12,14,3326.3550622265207,4321.255026031211
13,289,3813.2685454869293,4518.007082774439
14,189,3364.8536372329777,2811.4316637613656
15,80,3226.9730398625893,3873.829371565041
16,113,3076.7557589122994,3349.7452141916706
17,299,1548.6187393932698,2059.6419591764
18,319,902.377415497529,11684.679584823882
19,356,2832.1294108850325,4990.494865241322
20,49,8276.213989500271,7675.513142455037
21,211,4341.249935214511,3530.1287511930777
22,363,1735.6511746315848,3332.9609958713886
23,231,3920.6929234511595,4001.667402471125
24,200,2534.026242958032,6030.8541683579115
25,31,9869.624106317322,10242.351683085286
26,333,4734.409678090818,4991.408618816937
27,318,880.7445713712915,5129.884209219542
28,330,1247.9511208376712,1925.6071769704224
29,381,800.8408081510332,1010.6240646254175
30,364,2136.2591134972367,2140.906817215546
31,140,4407.996597094875,3914.6669079246067
32,249,1400.3160357576428,5006.039852018759
33,287,6724.069972866136,4414.898979591719
34,23,1704.7316504365137,2128.5239016745854
35,379,1927.5432550269786,2725.704862966642
36,258,4901.933190079196,3104.5289497764393
37,277,384.60499216728846,5726.710312212414
38,175,5025.628119946799,4546.863424383891
39,190,1368.139247299046,2479.9737901840817
40,115,7626.318902327649,7803.135779928477
41,152,4285.15145589978,4050.729563918085
42,37,14869.867484278398,10577.727118809598
43,188,1266.0146128698516,2003.7295226651725
44,125,1681.9185473738019,2246.4549850820513
45,91,2151.7962264117855,1665.2420244517011
46,393,230.91773426915483,6433.474566670797
47,245,4976.367048359677,5806.349972228681
48,329,946.1416384453229,2251.6009859653195
49,324,814.8054982632358,1599.328609135721
50,50,1975.5907977109025,1953.8275256531729
51,238,1927.8192342644577,2067.78262880797
52,155,2866.785830856571,4731.887572628919
53,349,1774.4909129099535,3946.2088135322997
54,12,8403.185229423423,6957.317874008632
55,156,2145.575447286811,1995.8554556881118
56,248,4131.194258322888,3013.8266373499323
57,391,4162.622130340442,4740.3488268269875
58,255,650.8486767290842,2838.6697588835514
59,302,5599.981874970668,6051.963317800266
60,48,2643.842279713372,2124.155832324926
61,390,5909.695254410332,6903.373957710824
62,129,2376.6869798103407,3279.993292676069
63,366,2371.230903982149,2934.475762380736
64,378,5477.293674799626,6239.380257685854
65,180,7880.691720908768,8628.976184924837
66,65,3151.572940612354,4183.892924060079
67,207,619.034732466604,3929.9725189878873
68,64,4493.608572183385,4018.319300404088
69,11,5833.356409478166,5558.707763500434
70,290,1153.875209890567,1279.7085605715076
71,63,6173.887025205434,7363.745242741631
72,107,4322.106777949846,4255.534631512238
73,198,2580.117051608318,1796.9373945688815
74,187,988.9787662027936,1398.730853309528
75,27,12844.34805663565,7021.461386349711
76,130,6702.549291127966,6425.109960148542
77,362,2044.5693923171207,4976.111936040024
78,292,1875.7044010184547,2161.176300073643
79,178,1530.959829649361,3230.6799593893543
80,170,2278.360814269768,7795.105002499967
81,352,2780.69883302741,2995.136390884395
82,151,2087.0517482803343,2525.5696387151947
83,105,2760.139308078489,2906.9936360439456
84,118,1637.1475193152264,1869.551015618456
85,76,1694.0802814506756,1161.9092047143788
86,281,1598.9790492686263,4408.477968641785
87,30,9184.770546943457,8974.748965848572
88,317,1949.7584465774216,2706.14947850262
89,264,2854.9320482281187,3192.157890831843
90,265,2773.4986929868924,2989.654327844609
91,300,7448.789700347299,6528.908790908325
92,73,1072.860195924893,1762.4633329519227
93,355,4005.175152224931,4245.1855083140945
94,387,2020.5808570804584,2454.0071312039827
95,262,1450.824593119375,2767.503206863544
96,166,1334.770017643489,2103.7212267788714
97,275,2885.502382601685,3165.475951575055
98,331,1615.5742013290508,2082.1541729660653
99,203,200.14744564945116,5123.921447485314
100,84,2234.3254015474113,3537.2666000741306
101,253,1713.2982810941007,2949.4692742932584
102,92,3115.765716481263,4260.171123323569
103,44,1766.2570594338754,3414.540086160946
104,134,14464.138066265823,13289.349795983248
105,308,4035.806734718599,4159.9493987307105
106,123,3930.759086995793,4794.829611154081
107,162,2005.1281754541278,4210.145603182864
108,174,17308.821623669242,7420.4481670583755
109,150,16871.02427240267,5196.462258113687
110,33,4129.15645138326,3622.9333419206046
111,260,1803.2545577372043,3424.6058167327815
112,90,2047.8168863450658,4569.565953129465
113,335,729.6012609638226,2137.3628610977594
114,110,3368.1754704884365,6409.734783904869
115,132,22542.328606423962,20151.652115893623
116,142,2367.5614036387738,1855.3587254221218
117,191,2083.495860327061,12703.18389223741
118,361,1214.780638633988,2527.62873064855
119,353,2803.2051298469046,2979.4014499560144
120,60,3290.6459852132375,3620.3400392780786
121,59,5101.55829134589,9997.368053642918
122,374,811.0197284900041,3214.581932382499
123,373,1828.1649269144182,2369.3676371555343
124,10,5768.921823009911,9621.805028163895
125,216,2930.464809548137,10559.886505071918
126,138,9354.258495466116,9785.299126751313
127,77,4397.218097843226,4755.5688408433325
128,230,1002.1072796861622,863.6764440460328
129,236,4033.8018047494597,4216.697404367546
130,99,5520.167298189431,14454.123425514257
131,116,1269.66688544673,2041.367433854082
132,215,2488.3102700427053,3439.579916210699
133,2,14284.059191980408,11483.949494838438
134,210,1392.0524415409068,10332.970628043031
135,28,2031.7342345887662,2442.444472244968
136,54,6976.109875854881,7553.380898643997
137,334,1785.8412583429692,2763.8701127223762
138,111,8322.430234012178,8035.724982850023
139,342,2250.193325027874,3494.6200079550854
140,81,10468.955774097052,17072.64862287044
141,160,2005.1710650216355,8691.927116583525
142,97,7595.9011315314,8601.742962911645
143,21,4989.430628839326,5722.969246815852
144,273,6810.188617064875,5872.392102031335
145,202,1039.4700572888091,3071.843746026155
146,226,1077.3420997993162,1257.1678487775607
147,303,2474.325160523572,2457.0075294959925
148,272,906.7336985024875,3057.830113004972
149,43,847.3311041145604,2071.7304361330407
150,288,3706.226787448388,3696.5332407540986
151,109,1584.2954269958618,3171.0260169225985
152,250,4888.720793827359,4808.323512410537
153,183,648.9768871076997,4906.14573774567
154,259,258.0600705262246,6632.0156815254895
155,172,9113.930546147474,7311.024004884678
156,327,1583.004737832455,5991.451076325334
157,18,9730.793287291637,9906.0320512302
158,360,3367.313914680364,2894.245324778119
159,311,1239.5773473244822,2217.744575013092
160,316,2120.4391054684875,5494.7955375973725
161,332,1771.6150823471785,4016.5696807101453
162,137,2089.875833632228,3894.3851889611537
163,386,2705.662950184298,9271.669105398445
164,206,4040.891980738906,10703.1054372084
165,95,2304.4153271491664,3106.599909869309
166,193,3077.941357466058,4311.997680889915
167,19,6295.459951425312,6478.604016298573
168,365,359.9805550304072,5014.734988012826
169,164,2365.3936247483207,2763.5531476705855
170,127,1581.400328822528,1707.9171525574652
171,233,1694.981415827324,3221.3641520324895
172,223,932.7282562461587,1343.352150405842
173,229,393.6546709998498,3874.104670759426
174,247,2326.336390120741,3087.0495622843505
175,74,3905.6012341251635,12546.783970404527
176,239,609.4464701678073,2735.4295823508232
177,98,2131.6582746772524,1483.2865535694714
178,380,2244.320832679677,2796.307386536752
179,306,5216.726080598827,4570.927258226716
180,328,5450.900659524075,8044.354977249574
181,165,2356.0239812022287,6275.127488744751
182,122,4640.411511924347,10441.139161988025
183,112,2830.705742390049,3928.046333738949
184,114,4462.891103309602,5173.0606994312375
185,82,14235.062908185548,12197.855672207308
186,359,674.6702898453436,2693.1871453725603
187,17,23096.915746480092,4667.077672377009
188,375,2001.666555648068,3268.9028740542294
189,382,1166.437310788711,919.044068584309
190,20,13767.272678348461,12745.173831690174
191,108,2616.3067480706463,4409.507228704813
192,39,3218.067898600028,4192.696030002652
193,93,5572.191130964551,6100.740282949275
194,376,729.9520532199358,3121.92632840687
195,36,20439.45111787496,22933.443810295914
196,256,3741.5186756182306,4882.633101104362
197,176,1164.1812573650204,3917.904414352142
198,9,2646.380924961484,2851.991935472469
199,345,1476.957345355647,1278.169002910022
200,71,9008.969419417517,8713.330017851958
201,126,6325.893533723121,5615.173016034323
202,128,4729.479252518188,8596.242725749431
203,131,13477.353189703088,2474.2257374782926
204,79,8942.972212860777,3863.6614758542187
205,295,3773.176513231259,4193.130215006446
206,7,11474.630320842585,19083.497504388444
207,261,1682.8357020220365,1944.8398391641406
208,320,4718.304250469653,9394.56119251985
209,285,8700.93219143788,8919.613164257742
210,276,3216.207704735501,2103.3694397323547
211,29,3554.302463212719,3186.2186051807557
212,340,1927.3484376209715,2623.9527434769093
213,212,1806.973713145822,3055.320932406283
214,341,2030.5445082538822,2279.9752191635766
215,313,1581.1451546268609,1877.8772590347858
216,314,10899.781649189124,5308.648415557391
217,153,2015.2999776708182,5419.435118164992
218,8,3052.5466417403027,3206.336850675549
219,100,3136.6215901826604,3815.0093053621767
220,16,3217.8154080058725,3691.227844498359
221,158,2710.6792506676256,7067.990379167193
222,195,984.2484442456589,910.8139217205675
223,66,7101.081748578874,6126.3856391840045
224,56,5210.258438887653,6140.323932823088
225,254,6051.903006493081,5508.868486359063
226,41,3062.260276331847,2783.649043970881
227,284,1098.0710359535033,2039.2559917773933
228,304,3221.209244988596,3526.9888006626843
