,sno,rent,return
0,8,4157.692307692308,3977.076923076923
1,221,2912.076923076923,3141.769230769231
2,121,4108.076923076923,3669.3846153846152
3,367,1754.8461538461538,1812.0
4,176,1668.7692307692307,2403.769230769231
5,123,4969.615384615385,6101.153846153846
6,5,11952.153846153846,11406.153846153846
7,267,2954.0,3809.923076923077
8,372,425.6923076923077,873.6923076923077
9,391,3002.6153846153848,2891.6153846153848
10,232,1889.3846153846155,2246.3076923076924
11,95,3074.6153846153848,3755.0
12,275,3690.846153846154,3443.153846153846
13,358,1041.3846153846155,1154.923076923077
14,305,7507.846153846154,6839.7692307692305
15,161,5901.0,5608.384615384615
16,141,1827.3076923076924,2191.6923076923076
17,53,3844.6153846153848,3835.076923076923
18,6,0.8461538461538461,0.38461538461538464
19,366,1735.0,2120.3076923076924
20,64,5252.2307692307695,4576.0
21,15,6334.384615384615,5767.461538461538
22,29,4444.461538461538,4092.923076923077
23,254,7343.7692307692305,6299.615384615385
24,215,3206.769230769231,4034.3076923076924
25,131,3468.6153846153848,2633.3076923076924
26,169,3201.6923076923076,3698.230769230769
27,380,2078.923076923077,2456.3846153846152
28,99,8789.153846153846,9206.615384615385
29,11,8904.923076923076,8409.23076923077
30,226,1450.7692307692307,1521.8461538461538
31,184,6478.2307692307695,6464.923076923077
32,117,10184.615384615385,10785.846153846154
33,308,5033.2307692307695,5107.461538461538
34,124,1696.923076923077,1836.2307692307693
35,274,3321.230769230769,4223.846153846154
36,91,3342.769230769231,2935.153846153846
37,202,1447.3846153846155,1504.6153846153845
38,165,2753.3076923076924,2605.0
39,22,15437.692307692309,15971.153846153846
40,25,7521.692307692308,7964.076923076923
41,397,2178.5384615384614,2731.846153846154
42,67,13576.23076923077,12137.846153846154
43,21,5865.2307692307695,6009.307692307692
44,208,2027.076923076923,1964.7692307692307
45,74,5548.615384615385,6167.307692307692
46,103,2427.4615384615386,2726.153846153846
47,206,5699.2307692307695,6519.076923076923
48,343,5300.692307692308,5834.461538461538
49,282,4994.307692307692,5393.846153846154
50,300,9054.153846153846,8181.923076923077
51,96,2142.3846153846152,3782.3076923076924
52,326,5675.846153846154,6632.384615384615
53,297,1011.6923076923077,1766.2307692307693
54,340,1935.7692307692307,1836.1538461538462
55,180,9418.846153846154,10382.0
56,222,2009.4615384615386,2012.3076923076924
57,317,2473.6153846153848,2783.3846153846152
58,272,1110.1538461538462,1350.0
59,350,443.0,1240.923076923077
60,329,1075.2307692307693,1083.1538461538462
61,146,9955.76923076923,9136.153846153846
62,113,4360.076923076923,4226.2307692307695
63,330,1370.6153846153845,1364.3076923076924
64,265,3521.3846153846152,3585.0
65,288,4789.923076923077,4983.846153846154
66,56,6328.307692307692,6570.384615384615
67,127,2208.076923076923,2198.230769230769
68,396,1177.076923076923,1430.3846153846155
69,322,3102.153846153846,3030.0
70,400,1945.6153846153845,1976.4615384615386
71,285,12468.538461538461,11921.461538461539
72,279,4371.923076923077,4245.461538461538
73,100,4206.153846153846,4109.538461538462
74,83,12496.76923076923,10604.846153846154
75,90,4002.6153846153848,3996.6923076923076
76,14,5694.0,6704.307692307692
77,225,5858.538461538462,5793.461538461538
78,135,8544.846153846154,8428.0
79,374,641.4615384615385,951.1538461538462
80,136,3734.4615384615386,4180.692307692308
81,210,1730.923076923077,2235.3076923076924
82,60,5006.384615384615,5608.0
83,94,9869.153846153846,7435.307692307692
