,place_1,place_2,total
0,82,106,21127.343349318675
1,82,132,80241.408119499
2,82,99,17718.954963541164
3,82,342,22541.360140861067
4,82,198,18501.023728431894
5,82,85,17168.604893817086
6,82,321,19520.12210515088
7,82,242,27401.81430124655
8,82,130,18420.518668050583
9,82,244,17390.211039547507
10,82,119,20732.726183500326
11,82,280,22328.93978674312
12,82,78,27480.126273363447
13,82,73,24084.32612717242
14,82,288,17617.328145890908
15,82,108,17611.597514138233
16,82,48,20474.29725289735
17,82,97,27929.370490578553
18,82,20,44902.91117511202
19,82,222,23603.875423328263
20,82,9,19252.73458498818
21,82,124,24501.34294278581
22,82,199,21177.373987347913
23,82,295,16442.553633788153
24,82,93,16829.851811587647
25,82,289,16750.492977820086
26,82,191,22063.145718595977
27,82,319,26765.910558021373
28,82,314,21406.128328121365
29,82,250,15945.090310186393
30,82,216,20691.214560774337
31,82,64,17376.38595911129
32,82,163,16333.411646070763
33,82,145,18554.94462400791
34,82,180,19520.155301636307
35,82,341,23280.32658705629
36,82,287,16770.20882398308
37,82,23,22823.30065963291
38,82,311,25146.91674937506
39,82,148,17948.612314048125
40,82,25,16425.027427678775
41,82,237,18594.465950922066
42,82,183,25961.174203028644
43,82,13,17180.79771139862
44,82,258,21100.212889921277
45,82,233,22337.02350359152
46,82,69,22281.101768090375
47,82,67,30785.86034204664
48,82,164,19334.90628371392
49,82,301,16746.506620785123
50,82,284,24318.329177803313
51,82,60,17542.07134291729
52,82,254,16840.19658436326
53,82,112,18682.91323643077
54,82,101,17894.57269677038
55,82,157,23226.905239398555
56,82,329,26163.17977616635
57,82,306,16347.138832223822
58,82,57,20734.646946596415
59,82,175,16798.912702910267
60,82,327,22045.009163073624
61,82,240,17108.85758898004
62,82,129,19833.05170668397
63,82,136,19965.409888103975
64,82,251,24725.748158549217
65,82,221,24346.66513097841
66,82,91,20620.134189670058
67,82,137,22581.536085926484
68,82,274,20414.95417579966
69,82,225,16428.677700898512
70,82,354,21160.47369507592
71,82,151,22384.561889838275
72,82,266,24942.22832867986
73,82,92,17666.434728037235
74,82,134,62421.98853769399
75,82,259,27635.78931385894
76,82,168,19222.54275583748
77,82,205,24397.81383648953
78,82,104,18687.663016011393
79,82,44,24295.6862426234
80,82,398,26835.553841871795
81,82,147,25571.792565246575
82,82,245,17466.283462717533
83,82,12,22126.50449122048
84,82,189,18854.646536066382
85,82,213,22865.806283619215
86,82,131,19722.55977301121
87,82,36,59809.017948800996
88,82,272,25825.939169757214
89,82,394,21992.348192041703
90,82,298,16887.611524428194
91,82,218,18226.236556129737
92,82,45,99998.87276864675
93,82,37,38898.32879443537
94,82,166,23685.106079559788
95,82,30,30912.924352121718
96,82,173,23863.539092096125
97,82,308,17491.62148001151
98,82,121,18939.683181088327
99,82,194,22418.408150446365
