,place_1,place_2,total
0,203,278,2105.811007664268
1,203,270,4167.090591767835
2,203,346,3024.6163393065244
3,203,308,8637.023445609026
4,203,235,1577.3154408678056
5,203,287,14551.398764380006
6,203,232,3010.092357387062
7,203,27,17191.99988366682
8,203,175,12175.853563508392
9,203,81,22393.067878251964
10,203,331,2990.5262078771357
11,203,48,5428.875389986401
12,203,122,11383.73550290062
13,203,59,13827.992659818705
14,203,255,1376.6335750663645
15,203,5,21870.467667610585
16,203,134,40261.94395455838
17,203,325,4938.596258047422
18,203,150,14324.58132023411
19,203,9,6598.363812340147
20,203,110,8173.005567109324
21,203,317,4066.9461515982725
22,203,105,8040.3438981177915
23,203,266,2359.527071258137
24,203,300,15847.24057998742
25,203,116,3379.6788308950304
26,203,178,3690.0151761205534
27,203,298,8797.68543424917
28,203,86,5844.252903494167
29,203,156,5025.36257398409
30,203,95,5120.090819507013
31,203,310,5408.257852580626
32,203,91,5615.802168880239
33,203,217,7656.669968073588
34,203,117,17659.02573756548
35,203,200,5514.522916807944
36,203,280,3985.320564270834
37,203,292,4640.62258754146
38,203,316,4687.067633392972
39,203,106,4783.073802483085
40,203,168,6896.718930042024
41,203,130,15783.593063684833
42,203,162,4954.121718327074
43,203,177,1593.8999341238457
44,203,151,4170.341832512055
45,203,260,3058.6501924868753
46,203,256,7081.611539755622
47,203,138,23239.012930845405
48,203,290,2699.194324238253
49,203,68,8757.344346318694
50,203,108,8105.719647261432
51,203,20,31817.995348544508
52,203,293,2996.2247912998782
53,203,188,2993.864559394763
54,203,30,23339.550081353325
55,203,335,1408.1381324287756
56,203,66,12696.06281490447
57,203,93,14026.8507513269
58,203,284,2768.5689444187587
59,203,32,21315.220172449546
60,203,3,12013.914807422267
61,203,62,15553.542843995383
62,203,52,6754.005478232898
63,203,215,5364.394467225541
64,203,154,4252.706549951454
65,203,277,631.2558910616201
66,203,320,4905.872093726049
67,203,132,49198.5227522128
68,203,46,9677.224963800314
