,sno,rent,return
0,70,16944.384615384617,14537.384615384617
1,2,17937.0,16235.923076923076
2,20,18159.384615384617,16269.0
3,87,19130.153846153848,18116.76923076923
4,61,21010.846153846152,19670.46153846154
5,36,22071.846153846152,22841.30769230769
6,134,23166.69230769231,20029.153846153848
7,1,24326.30769230769,21226.0
8,132,27935.30769230769,24616.615384615387
9,45,33379.30769230769,30322.0
0,2,17937.0,16235.923076923076
1,20,18159.384615384617,16269.0
2,38,15189.846153846154,17333.846153846152
3,87,19130.153846153848,18116.76923076923
4,61,21010.846153846152,19670.46153846154
5,134,23166.69230769231,20029.153846153848
6,1,24326.30769230769,21226.0
7,36,22071.846153846152,22841.30769230769
8,132,27935.30769230769,24616.615384615387
9,45,33379.30769230769,30322.0
