,sna,lat,lng,rent,return
0,捷運市政府站(3號出口),25.0408,121.568,24326.30769230769,21226.0
1,捷運國父紀念館站(2號出口),25.0412,121.557,17937.0,16235.923076923076
2,台北市政府,25.0378,121.565,6953.615384615385,6978.384615384615
3,市民廣場,25.035999999999998,121.56200000000001,3148.8461538461543,2277.923076923077
4,興雅國中,25.0365,121.569,11952.153846153846,11406.153846153846
5,臺北南山廣場,25.0378,121.565,0.8461538461538461,0.38461538461538464
6,信義廣場(台北101),25.033,121.566,15312.46153846154,14179.384615384617
7,世貿三館,25.0358,121.564,4157.692307692308,3977.0769230769233
8,松德站,25.0366,121.573,3907.307692307693,4336.153846153846
9,台北市災害應變中心,25.0286,121.566,8269.615384615385,9311.153846153846
10,三張犁,25.0349,121.55799999999999,8904.923076923076,8409.23076923077
11,臺北醫學大學,25.0266,121.56200000000001,9889.923076923076,12257.076923076924
12,福德公園,25.0381,121.584,4939.692307692308,5464.384615384615
13,榮星花園,25.0642,121.541,5694.0,6704.3076923076915
14,饒河夜市,25.0494,121.572,6334.384615384615,5767.461538461538
15,松山家商,25.0361,121.579,4270.538461538462,4639.461538461538
16,民生光復路口,25.0588,121.555,7061.461538461538,5890.23076923077
17,臺北市藝文推廣處,25.0483,121.552,6180.538461538462,6211.6923076923085
18,象山公園,25.0286,121.57,4115.538461538462,4135.0
19,捷運科技大樓站,25.026,121.54299999999999,18159.384615384617,16269.0
20,民生敦化路口,25.058000000000003,121.54899999999999,5865.23076923077,6009.3076923076915
21,松山車站,25.0494,121.572,15437.692307692307,15971.153846153846
22,東新國小,25.0551,121.603,2247.769230769231,2494.076923076923
23,信義建國路口,25.0333,121.537,12417.307692307693,11429.46153846154
24,永吉松信路口,25.0454,121.572,7521.6923076923085,7964.076923076923
25,捷運昆陽站(1號出口),25.0502,121.59200000000001,5239.923076923077,4907.0
26,捷運南港展覽館站(5號出口),25.0549,121.617,9767.384615384615,5687.461538461538
27,五常公園,25.0481,121.575,2841.6923076923076,3201.5384615384614
28,金山愛國路口,25.0316,121.527,4444.461538461538,4092.9230769230767
29,基隆長興路口,25.017,121.544,13486.46153846154,13268.53846153846
30,辛亥新生路口,25.0225,121.535,10903.23076923077,10927.76923076923
31,捷運六張犁站,25.0237,121.553,12231.46153846154,12016.076923076924
32,中崙高中,25.0488,121.561,5557.615384615385,5432.692307692308
33,捷運行天宮站(1號出口),25.0595,121.53299999999999,5744.6923076923085,5768.076923076923
34,捷運行天宮站(3號出口),25.0602,121.53299999999999,11913.846153846154,10755.153846153846
35,臺大資訊大樓,25.021,121.542,22071.846153846152,22841.30769230769
36,捷運東門站(4號出口),25.0337,121.529,15709.46153846154,14670.0
37,臺灣師範大學(圖書館),25.0267,121.529,15189.846153846154,17333.846153846152
38,南港世貿公園,25.0581,121.61399999999999,3451.3076923076924,3131.9230769230767
39,玉成公園,25.0429,121.586,3355.615384615385,3865.769230769231
40,中研公園,25.0474,121.61399999999999,3850.0769230769233,3469.3076923076924
41,捷運後山埤站(1號出口),25.0444,121.58200000000001,8505.615384615385,8980.0
42,凌雲市場,25.0357,121.61399999999999,907.8461538461537,1221.0
43,捷運南港軟體園區站(2號出口),25.0444,121.58200000000001,1749.5384615384617,1394.4615384615383
44,捷運公館站(2號出口),25.0147,121.535,33379.30769230769,30322.0
45,南港國小,25.0564,121.611,4631.615384615385,2946.5384615384614
46,南港車站(忠孝東路),25.0524,121.609,3188.769230769231,2256.153846153846
47,龍門廣場,25.0408,121.54799999999999,12031.769230769229,11741.46153846154
48,民權運動公園,25.0622,121.56,2994.5384615384614,3168.0
49,建國農安街口,25.0651,121.537,3231.4615384615386,3339.6923076923076
50,建國長春路口,25.0548,121.537,4007.230769230769,4458.0
51,八德市場,25.0449,121.537,3844.615384615385,3835.0769230769233
52,臺北市立圖書館(總館),25.029,121.538,9878.53846153846,10909.76923076923
53,臺北田徑場,25.0499,121.54899999999999,5312.615384615385,5152.615384615385
54,仁愛林森路口,25.0389,121.522,6328.3076923076915,6570.384615384615
55,新生和平路口,25.0263,121.535,10235.53846153846,10558.153846153846
56,捷運善導寺站(1號出口),25.0453,121.522,6405.769230769231,6294.923076923077
57,林森公園,25.0523,121.52600000000001,7963.615384615385,8285.538461538461
58,中山行政中心,25.0646,121.53299999999999,5006.384615384615,5608.0
59,台灣科技大學,25.013,121.54,21010.846153846152,19670.46153846154
60,南昌公園,25.0269,121.521,8994.076923076924,8928.923076923076
61,仁愛醫院,25.0377,121.546,8823.23076923077,8731.461538461539
62,國家圖書館,25.0378,121.51700000000001,5252.23076923077,4576.0
63,青年公園3號出口,25.0223,121.50299999999999,4923.23076923077,5773.538461538462
64,師範大學公館校區,25.0076,121.537,7288.384615384615,6733.615384615385
65,捷運臺大醫院(4號出口),25.0426,121.516,13576.230769230771,12137.846153846154
66,國興青年路口,25.0258,121.507,5088.923076923077,6344.538461538462
67,興豐公園,24.9999,121.54799999999999,2534.4615384615386,2807.9230769230767
68,捷運台北101/世貿站,25.0329,121.561,16944.384615384617,14537.384615384617
69,捷運信義安和站(4號出口),25.033,121.554,13440.384615384617,13467.076923076924
70,新生長安路口,25.0485,121.53,2466.153846153846,2510.769230769231
71,酒泉延平路口,25.0721,121.51,1908.692307692308,2578.769230769231
72,信義連雲街口,25.0337,121.529,5548.615384615385,6167.3076923076915
73,基隆光復路口,25.0301,121.55799999999999,6403.3076923076915,7126.23076923077
74,新生長春路口,25.0564,121.527,2793.4615384615386,2632.692307692308
75,民生活動中心,25.059,121.56299999999999,6495.846153846153,7286.538461538462
76,捷運圓山站(2號出口),25.0718,121.51899999999999,12770.307692307693,11152.692307692307
